No	Penulis	Jurnal	Tahun	Keterangan	Hasil
43	"Nugroho, F.E."	 Perancangan Sistem Informasi Penjualan Online Studi Kasus Tokoku	2016	"Dalam penelitian ini yang dipergunakan oleh penulis adalah data primer dan data sekunder. Jenis penelitian yang digunakan dalam proses penulisan ini adalah studi kasus yang dilakukan dengan mempelajari kasus penerapan suatu aktivitas di lapangan, mengamati dan melakukan wawancara kepada pihak-pihak yang terkait. Metode penelitian yang akan digunakan dalam penelitian ini adalah metode deskriptif yakni dengan cara melakukan penelitian studi kasus yang menganalisis bagaimana Tokoku dapat menjual produknya kepada customer"	Dengan adanya sistem informasi penjualan online ini dapat membantu Tokoku untuk meningkatkan penjualannya.
44	"Pangaribuan, L. dan Lolong, D.B."	 Hubungan Penggunaan Kontrasepsi Pil Dengan Kejadian Hipertensi Pada Wanita Usia 15-49 Tahun Di Indonesia Tahun 2013 (Analisis Data Riskesdas 2013)	2015	"Desain Riskesdas 2013 adalah cross sectional. Kajian ini memilih sampel wanita usia 15-49 tahun yang menggunakan kontrasepsi dengan jumlah 34.755. Data dianalisis dengan univariat, bivariat dan multivariat dengan uji cox regression"	"Hasil penelitian diperoleh hubungan yang bermakna antara penggunaan kontrasepsi pil dengan kejadian hipertensi pada wanita usia 15-49 tahun dengan nilai PR 1,4 (95%CI: 1,31 – 1,45) setelah dikontrol umur dan IMT."
45	"Pijanowski, B.C., Tayyebi, A., Doucette, J., Pekin, B.K., Braun, D. dan Plourde, J."	 A big data urban growth simulation at a national scale: Configuring the GIS and neural network based land transformation model to run in a high performance computing (HPC) environment	2014	"Dalam makalah ini, kami memberikan ikhtisar tentang LTM yang didesain ulang yang mampu berjalan pada skala benua dan pada resolusi halus (30m) menggunakan arsitektur baru yang menggunakan cluster High Performance Computing (HPC) berbasis windows"	Kami menemukan bahwa LTM-HPC memiliki beberapa keunggulan signifikan dibandingkan versi workstation tunggal dari LTM
46	"Raharjo, M."	 Mengukur Kualitas Penelitian Kualitatif	2014		
47	"Rahmayani, S.T."	 Faktor-faktor risiko kejadian hipertensi primer pada usia 20-55 tahun di poliklinik penyakit dalam rsud 45 kuningan	2019	Jenis penelitian ini adalah penelitian analitik dengan menggunakan metode survei dan pendekatan Cross Sectional. Pengumpulan data melalui wawancara langsung terhadap responden dengan menggunakan kuesioner. Populasi adalah pasien rawat jalan poliklinik penyakit dalam RSUD 45 Kabupaten Kuningan usia 20-55 tahun yang berjumlah 624 orang dengan jumlah sampel sebanyak 61 orang	"Hasil uji statistik chi Square menunjukkan bahwa jenis kelamin laki-laki terbukti merupakan faktor risiko kejadian hipertensi primer (POR: 4,182, 95% CI= 1,427-12,258). Adanya riwayat keluarga terbukti merupakan faktor risiko kejadian hipertensi primer (POR: 6,5, 95% CI= 2,108-20,044). Stres terbukti merupakan faktor risiko kejadian hipertensi primer (POR: 7,25, 95% CI= 2,150-24,442). Kebiasaan olahraga tidak teratur terbukti merupakan faktor risiko kejadian hipertensi primer (POR: 6,557, 95% CI= 2,096-20,517). Status obesitas terbukti merupakan faktor risiko kejadian hipertensi primer (POR: 5,573, 95% CI= 1,706-18,205). Kebiasaan merokok terbukti merupakan faktor risiko kejadian hipertensi primer (POR I: 14,375 (CI=95%: 3,280-63,008), POR II : 10 (CI=95%: 1,781-56,150"
48	"Rajkomar, A., Oren, E., Chen, K., Dai, A.M., Hajaj, N., Hardt, M., Liu, P.J., Liu, X., Marcus, J., Sun, M. dan Sundberg, P."	 Scalable and accurate deep learning with electronic health records	2018	"Kami menunjukkan bahwa metode pembelajaran mendalam yang menggunakan representasi ini mampu secara akurat memprediksi beberapa peristiwa medis dari berbagai pusat tanpa harmonisasi data spesifik lokasi. Kami memvalidasi pendekatan kami menggunakan data EHR yang tidak teridentifikasi dari dua pusat medis akademik AS dengan 216.221 pasien dewasa yang dirawat di rumah sakit setidaknya selama 24 jam. Dalam format berurutan yang kami usulkan, volume data EHR ini dibuka menjadi total 46.864.534.945 titik data, termasuk catatan klinis"	"Model deep learning mencapai akurasi tinggi untuk tugas-tugas seperti memprediksi: kematian di rumah sakit (area di bawah kurva operator penerima [AUROC] di seluruh situs 0,93-0,94), masuk kembali tidak direncanakan 30 hari (AUROC 0,75-0,76), lama tinggal yang lama ( AUROC 0.85-0.86), dan semua diagnosis akhir pasien (Frequency-weighted AUROC 0.90"
49	"Rizkiyah, P.M.R., Putra, C.A., Assani, S., Dan Hermanto."	 Analisis dan Perancangan Sistem Informasi Pembayaran Air HIPPAM Desa Leran Berbasis Web	2021	"Pada penelitian terdiri dari analisa dan perancangan, metodologi yang digunakan untuk mengembangkan sistem yakni SDLC (system development life cycle)"	Hasil dari penilitian ini berupa dokumen Analisis dan perancangan sistem yang akan digunakan untuk mengembangkan sistem pembayaran HIPPAM ini.
50	"Rosenblatt, F."	 The perceptron: A probabilistic model for information storage and organization in the brain	1958	sebuah teori dikembangkan untuk sistem saraf hipotetis yang disebut perceptron. Teori berfungsi sebagai jembatan antara biofisika dan psikologi.	Dimungkinkan untuk memprediksi kurva belajar dari variabel neurologis dan sebaliknya. Pendekatan statistik kuantitatif bermanfaat dalam memahami organisasi sistem kognitif.
51	"Sakr, S., Elshawi R., Ahmed, A., Qureshi, W.T., Brawner, C. dan Keteyian, S."	 Using machine learning on cardiorespiratory fitness data for predicting hypertension: The Henry Ford ExercIse Testing (FIT) Project	2018	"Dataset penelitian ini berisi informasi dari 23.095 pasien yang menjalani tes stres treadmill latihan yang dirujuk oleh dokter di Henry Ford Health Systems antara tahun 1991 dan 2009 dan memiliki tindak lanjut lengkap selama 10 tahun. Variabel dari dataset termasuk informasi tentang tanda-tanda vital, diagnosis dan pengukuran laboratorium klinis. Enam teknik pembelajaran mesin diselidiki: LogitBoost (LB), Bayesian Network classifier (BN), Locally Weighted Naive Bayes (LWB), Artificial Neural Network (ANN), Support Vector Machine (SVM) dan Random Tree Forest (RTF). Menggunakan metode validasi yang berbeda, model RTF telah menunjukkan kinerja terbaik (AUC = 0,93) dan mengungguli semua teknik pembelajaran mesin lainnya yang diperiksa dalam penelitian ini"	Hasilnya juga menunjukkan bahwa sangat penting untuk secara hati-hati mengeksplorasi dan mengevaluasi kinerja model pembelajaran mesin menggunakan berbagai metode evaluasi model karena akurasi prediksi dapat berbeda secara signifikan.
52	"Sánchez-Monedero, J., Hervas-Martinez, C., Gutiérrez, P., Ruz, M.C., Moreno, M.R. dan Cruz-Ramirez, M."	 Evaluating the performance of evolutionary extreme learning machines by a combination of sensitivity and accuracy measures	2010	"Makalah ini mengusulkan pendekatan yang digunakan untuk menangani masalah multi-kelas, yang mencoba menghindari masalah ini. Pendekatan ini didasarkan pada pengklasifikasi Extreme Learning Machine (ELM), yang dilatih dengan menggunakan algoritma Differential Evolution (DE). Dua ukuran kesalahan (Akurasi, C, dan Sensitivitas, S) digabungkan dan diterapkan sebagai fungsi kesesuaian untuk algoritme."	Pendekatan yang diusulkan dapat memperoleh pengklasifikasi multiclass dengan tingkat tingkat klasifikasi yang tinggi dalam dataset global dengan tingkat akurasi yang dapat diterima untuk setiap kelas.
53	"Saputra, O. dan Anam, K."	 Gaya Hidup Sebagai Faktor Risiko Hipertensi Pada Masyarakat Pesisir Pantai	2016	Terdapat kaitan faktor tempat tinggal dengan risiko kejadian hipertensi dimana menurut penelitan terjadi kecenderungan hipertensi pada daerah pesisir pantai	Penelitian menunjukkan masyarakat pesisir pantai memiliki gaya hidup mengkonsumsi Natrium yang tinggi serta konsumsi ikan dan hewan laut yang memiliki kadar kolestrerol lebih tinggi.Hal tersebut menjadi faktor risiko kejadian hipertensi di daerah pesisir pantai.
54	"Shi, Z., Huang, Y., He, Q., Xu, L., Liu, S., Qin, L., Jia, Z., Li, J., Huang, H. dan Zhao, L."	 MSMiner—A developing platform for OLAP	2007	"Dalam makalah ini, desain dan implementasi MSMiner, platform pengembangan untuk DSS, diperkenalkan. Sangat cocok untuk pemrosesan on-line analytical processing (OLAP)"	"Karakteristik MSMiner mencakup kemampuan untuk mendukung berbagai sumber data dan strategi penambangan data, fleksibilitas organisasi tambahan terkait dengan strategi data dan penambangan, dan perluasan tugas data mining yang kuat."
55	"Shin, J., Badgwell, T.A., Liu K.H. dan Lee, J.H."	 Reinforcement Learning –Overview of recent progress and implications for process control	2019	"Makalah ini dimulai dengan pengenalan RL yang memungkinkan agen untuk belajar, melalui trial and error, cara terbaik untuk menyelesaikan tugas. Kami kemudian menyoroti perkembangan baru di RL yang telah menyebabkan gelombang aplikasi dan minat media baru-baru ini."	"Perbandingan fitur utama RL dan metode berbasis pemrograman matematis (misalnya, kontrol prediktif model) kemudian disajikan untuk memperjelas persamaan dan perbedaannya. Hal ini diikuti dengan penilaian beberapa cara bahwa teknologi RL berpotensi digunakan dalam kontrol proses dan aplikasi keputusan operasional"
56	"Subbulakshmi, C. V. dan Deepa, S. N."	 Medical dataset classification: a machine learning paradigm integrating particle swarm optimization with extreme learn- ing machine classifier	2015	"Makalah ini mengusulkan metodologi hybrid berdasarkan paradigma pembelajaran mesin. Paradigma ini mengintegrasikan mekanisme eksplorasi yang sukses yang disebut kemampuan belajar mandiri dari algoritma optimasi gerombolan partikel (PSO) dengan pengklasifikasi mesin pembelajaran ekstrim (ELM). Sebagai metode pembelajaran off-line baru-baru ini, ELM adalah single-hidden layer feedforward neural network (FFNN), terbukti menjadi pengklasifikasi yang sangat baik dengan sejumlah besar neuron lapisan tersembunyi. Dalam penelitian ini, PSO digunakan untuk menentukan set parameter optimum untuk ELM, sehingga mengurangi jumlah neuron lapisan tersembunyi, dan selanjutnya meningkatkan kinerja generalisasi jaringan."	"Metode yang diusulkan diujicobakan pada lima set data benchmark dari UCI Machine Learning Repository untuk menangani klasifikasi set data medis. Hasil simulasi menunjukkan bahwa pendekatan yang diusulkan mampu mencapai kinerja generalisasi yang baik, dibandingkan dengan hasil pengklasifikasi lainnya"
57	"Zhang, C. dan Chu, H."	 Preprocessing Method of Structured Big Data in Human Resource Archives Database	2020	"Melalui metode preprocessing data besar terstruktur database arsip sumber daya manusia, ditemukan data abnormal dalam data statistik sumber daya manusia. Untuk memverifikasi metode pra-pemrosesan data besar terstruktur dari database arsip sumber daya manusia yang diusulkan dalam makalah ini, data perusahaan dari tabel ringkasan upah perusahaan yang dikumpulkan oleh biro statistik digunakan"	"Hasil eksperimen menunjukkan bahwa metode ini dapat mencapai efek deteksi ahli dalam mendeteksi data abnormal, yang dapat memberikan referensi untuk departemen statistik"
58	"Zhang, M., Liu, X. dan Zhang, Z."	 A soft sensor for industrial melt index prediction based on evolutionary extreme learning machine	2016	"Makalah ini menyajikan sensor lunak baru berdasarkan mesin pembelajaran ekstrim (ELM) dan algoritma pencarian gravitasi yang dimodifikasi (MGSA) untuk memperkirakan MI dari variabel proses PP nyata, di mana algoritma MGSA dikembangkan untuk menemukan parameter terbaik dari bobot input dan bias tersembunyi untuk ELM. Sebagai dasar perbandingan, model ELM, APSO-ELM dan GSA-ELM juga dikembangkan masing-masing. Berdasarkan data dari pabrik produksi PP nyata, perbandingan model secara mendetail dilakukan"	Hasil penelitian menunjukkan akurasi dan universalitas model yang diusulkan dan dapat menjadi alat yang ampuh untuk prediksi MI online
